Battletag,Paragon,Rank,Rift level,Time,Completed on
HugeTank#1428,1599,381,118,824166,2019-02-09
Slayer#11370,2798,382,118,824283,2019-03-20
groffy#11389,1765,383,118,824433,2019-03-09
Moska#1415,1385,384,118,825499,2019-02-28
RiceKrispies#11769,1472,385,118,827100,2019-02-12
ToCool4aName#1947,1600,386,118,830400,2019-02-15
SNSD#11889,1577,387,118,831483,2019-04-05
Gus#12627,2539,388,118,833949,2019-03-14
Drazi#11709,3319,389,118,834632,2019-03-25
BuGGiMon#1599,1679,390,118,837133,2019-02-15
PNE55M0N5T3R#1947,2004,391,118,840250,2019-02-20
Crazeroth#1123,2030,392,118,841299,2019-02-19
MARKXLII#1512,2253,393,118,841333,2019-04-08
Flow#11653,1834,394,118,841849,2019-02-26
DarkMatter#1875,1722,395,118,842800,2019-02-15
Varadia#1555,2030,396,118,843383,2019-04-08
Furgz#11102,1947,397,118,843716,2019-03-09
powerfoul#1287,1743,398,118,844299,2019-02-23
IceTitan#1954,1611,399,118,844916,2019-04-04
Fame#1179,1866,400,118,845266,2019-03-05
Pallas#11926,2659,401,118,847183,2019-03-27
Lizardking#11877,2472,402,118,847300,2019-04-05
PinkBuddha#1731,2223,403,118,847399,2019-02-15
DrmWEaver#1414,2928,404,118,847850,2019-03-22
Jason#32603,2118,405,118,850833,2019-04-07
deltaforce#1979,1953,406,118,851649,2019-02-11
guozi#1760,1368,407,118,851900,2019-03-26
Einstyn#1876,1839,408,118,853316,2019-03-18
Areus#11441,2350,409,118,854050,2019-03-13
Afrorox1#1189,1871,410,118,854066,2019-03-13
hitam#6331,1577,411,118,854166,2019-02-25
Calatin#11939,1846,412,118,854416,2019-03-02
Dadoc#1965,3078,413,118,857316,2019-03-23
enik#1801,2391,414,118,857533,2019-04-04
HahaScripteD#1565,1807,415,118,858833,2019-02-14
andyle2k#1842,2014,416,118,859433,2019-03-31
NightKnight#135462,2681,417,118,860066,2019-03-26
LimanZerga#1119,1664,418,118,860250,2019-02-09
Numberless#1116,1659,419,118,860800,2019-03-17
FINGOLFIN#1913,1855,420,118,861616,2019-03-29
LUK#4893,1515,421,118,861683,2019-02-21
Aberrancy#1468,1663,422,118,863632,2019-02-07
DarkKnight#14104,1870,423,118,863666,2019-03-09
JuzamDjinn#1954,2145,424,118,864016,2019-04-02
ELUSIVE#11653,2159,425,118,864199,2019-03-18
Taeyeon#1353,1287,426,118,868250,2019-02-10
Mimir#1378,1524,427,118,868516,2019-03-05
Skep#6528,2086,428,118,869250,2019-03-29
CedesZX#1359,2327,429,118,870666,2019-03-02
Dmz#1605,1556,430,118,870766,2019-02-28
NeverWitness#1752,1467,431,118,871616,2019-03-28
Erradicate#11347,1777,432,118,872266,2019-02-07
SeoulReaper#11613,1508,433,118,873633,2019-03-15
bLink#1160,2033,434,118,873782,2019-02-02
Gujibaba#1792,1810,435,118,873950,2019-02-20
Suicideboy90#1786,2076,436,118,874149,2019-03-11
Meem#11892,2583,437,118,874900,2019-03-13
psyke9#3642,1577,438,118,875166,2019-04-04
GeNg#11668,1951,439,118,876399,2019-03-03
Zillis#1111,1639,440,118,876516,2019-04-02
Legion#1195,1686,441,118,876799,2019-03-20
ezreal#12466,2002,442,118,876932,2019-04-03
Exsanguie#1308,1902,443,118,877083,2019-03-01
眼睛紅#3603,1633,444,118,877616,2019-03-31
HELLO#3899,1594,445,118,878166,2019-03-18
DeatHoH#1280,1806,446,118,878200,2019-03-05
Ragnarökr#1527,1755,447,118,878699,2019-02-21
ayalin#1589,1456,448,118,878799,2019-02-17
Tantuien#2327,2107,449,118,878849,2019-03-30
haraldgans#1616,2989,450,118,878933,2019-03-20
gamtang#1975,1963,451,118,879032,2019-03-29
CowboyCapi#1618,1525,452,118,879466,2019-02-03
dots#6814,2572,453,118,879616,2019-03-01
incoruptible#1827,1539,454,118,880083,2019-04-05
Vigil#1721,2363,455,118,880500,2019-03-31
mikeiscoo2#1967,1722,456,118,881166,2019-02-04
Yooke#1680,1675,457,118,882582,2019-02-12
Andromeda#12984,1602,458,118,882949,2019-04-06
Kevin#31345,1733,459,118,883600,2019-04-02
Kyo#1101,1891,460,118,883666,2019-02-23
Djahlez#2663,1386,461,118,884000,2019-02-07
Leon#14560,2686,462,118,887033,2019-02-23
